Disease,Description
(vertigo) Paroymsal  Positional Vertigo (Acute),का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
(vertigo) Paroymsal  Positional Vertigo (Chronic),का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
(vertigo) Paroymsal  Positional Vertigo (Mild),का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
(vertigo) Paroymsal  Positional Vertigo (Severe),का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
(vertigo) Paroymsal  Positional Vertigo (Stage 1),का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
(vertigo) Paroymsal  Positional Vertigo,बेनाइन पैरॉक्सिस्मल पोजिशनल वर्टिगो (बीपीपीवी) वर्टिगो के सबसे आम कारणों में से एक है - अचानक महसूस होना कि आप घूम रहे हैं या आपके सिर का अंदरूनी हिस्सा घूम रहा है। सौम्य पैरॉक्सिस्मल पोजिशनल वर्टिगो के कारण हल्के से तीव्र चक्कर के संक्षिप्त एपिसोड होते हैं।
AIDS (Acute),एड्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
AIDS (Chronic),एड्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
AIDS (Mild),एड्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
AIDS (Severe),एड्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
AIDS (Stage 1),एड्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
AIDS,"एक्वायर्ड इम्युनोडेफिशिएंसी सिंड्रोम (एड्स) मानव इम्युनोडेफिशिएंसी वायरस (एचआईवी) के कारण होने वाली एक दीर्घकालिक, संभावित जीवन-घातक स्थिति है। आपकी प्रतिरक्षा प्रणाली को नुकसान पहुंचाकर, एचआईवी आपके शरीर की संक्रमण और बीमारी से लड़ने की क्षमता में हस्तक्षेप करता है।"
Acne (Acute),मुँहासे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Acne (Chronic),मुँहासे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Acne (Mild),मुँहासे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Acne (Severe),मुँहासे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Acne (Stage 1),मुँहासे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Acne,"मुँहासे वुल्गारिस पाइलोसेबेसियस इकाइयों (बालों के रोम और उनके साथ वसामय ग्रंथि) की रुकावट और सूजन के परिणामस्वरूप कॉमेडोन, पपल्स, पुस्ट्यूल, नोड्यूल और/या सिस्ट का निर्माण होता है। चेहरे और ऊपरी धड़ पर मुँहासे विकसित हो जाते हैं। यह अक्सर किशोरों को प्रभावित करता है।"
Alcoholic hepatitis (Acute),अल्कोहलिक हेपेटाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Alcoholic hepatitis (Chronic),अल्कोहलिक हेपेटाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Alcoholic hepatitis (Mild),अल्कोहलिक हेपेटाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Alcoholic hepatitis (Severe),अल्कोहलिक हेपेटाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Alcoholic hepatitis (Stage 1),अल्कोहलिक हेपेटाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Alcoholic hepatitis,"अल्कोहलिक हेपेटाइटिस लंबे समय तक भारी शराब के सेवन के कारण होने वाली लीवर की एक रोगग्रस्त, सूजन वाली स्थिति है। यह अत्यधिक शराब पीने और लगातार शराब के सेवन से भी बढ़ जाता है। यदि आपमें यह स्थिति विकसित हो जाए तो आपको शराब पीना बंद कर देना चाहिए"
Allergy (Acute),एलर्जी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Allergy (Chronic),एलर्जी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Allergy (Mild),एलर्जी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Allergy (Severe),एलर्जी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Allergy (Stage 1),एलर्जी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Allergy,"एलर्जी किसी विदेशी पदार्थ के प्रति प्रतिरक्षा प्रणाली की प्रतिक्रिया है जो आम तौर पर आपके शरीर के लिए हानिकारक नहीं होती है। इनमें कुछ खाद्य पदार्थ, परागकण, या पालतू जानवरों की रूसी शामिल हो सकती है। आपकी प्रतिरक्षा प्रणाली का काम हानिकारक रोगजनकों से लड़कर आपको स्वस्थ रखना है।"
Anemia (Acute),एनीमिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Anemia (Chronic),एनीमिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Anemia (Mild),एनीमिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Anemia (Severe),एनीमिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Anemia (Stage 1),एनीमिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Anemia,"एक चिकित्सीय स्थिति जिसमें थकान, कमजोरी, त्वचा का पीला पड़ना शामिल है।"
Anxiety Disorder (Acute),चिंता विकार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Anxiety Disorder (Chronic),चिंता विकार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Anxiety Disorder (Mild),चिंता विकार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Anxiety Disorder (Severe),चिंता विकार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Anxiety Disorder (Stage 1),चिंता विकार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Anxiety Disorder,"एक चिकित्सीय स्थिति जिसमें घबराहट महसूस होना, बेचैनी महसूस होना, घबराहट होना शामिल है।"
Appendicitis (Acute),अपेंडिसाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Appendicitis (Chronic),अपेंडिसाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Appendicitis (Mild),अपेंडिसाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Appendicitis (Severe),अपेंडिसाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Appendicitis (Stage 1),अपेंडिसाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Appendicitis,"एक चिकित्सीय स्थिति जिसमें दाहिनी ओर अचानक दर्द होता है, खांसी होने पर दर्द बढ़ जाता है, मतली होती है।"
Arthritis (Acute),गठिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Arthritis (Chronic),गठिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Arthritis (Mild),गठिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Arthritis (Severe),गठिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Arthritis (Stage 1),गठिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Arthritis,"गठिया आपके एक या अधिक जोड़ों की सूजन और कोमलता है। गठिया के मुख्य लक्षण जोड़ों का दर्द और जकड़न हैं, जो आमतौर पर उम्र के साथ बदतर होते जाते हैं। गठिया के सबसे आम प्रकार ऑस्टियोआर्थराइटिस और रुमेटीइड गठिया हैं।"
Bronchial Asthma (Acute),ब्रोन्कियल अस्थमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Bronchial Asthma (Chronic),ब्रोन्कियल अस्थमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Bronchial Asthma (Mild),ब्रोन्कियल अस्थमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Bronchial Asthma (Severe),ब्रोन्कियल अस्थमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Bronchial Asthma (Stage 1),ब्रोन्कियल अस्थमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Bronchial Asthma,"ब्रोन्कियल अस्थमा एक चिकित्सीय स्थिति है जिसके कारण फेफड़ों का वायुमार्ग सूज जाता है और संकीर्ण हो जाता है। इस सूजन के कारण, वायुमार्ग में अतिरिक्त बलगम पैदा होता है जिससे सांस लेना मुश्किल हो जाता है, जिसके परिणामस्वरूप खांसी, छोटी सांस और घरघराहट होती है। यह बीमारी पुरानी है और दैनिक कामकाज में बाधा डालती है।"
Bronchitis (Acute),ब्रोंकाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Bronchitis (Chronic),ब्रोंकाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Bronchitis (Mild),ब्रोंकाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Bronchitis (Severe),ब्रोंकाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Bronchitis (Stage 1),ब्रोंकाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Bronchitis,"एक चिकित्सीय स्थिति जिसमें खांसी, बलगम का उत्पादन, थकान शामिल है।"
COVID-19 (Acute),COVID-19 का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
COVID-19 (Chronic),COVID-19 का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
COVID-19 (Mild),COVID-19 का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
COVID-19 (Severe),COVID-19 का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
COVID-19 (Stage 1),COVID-19 का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
COVID-19,"एक चिकित्सीय स्थिति जिसमें बुखार, खांसी, थकान होती है।"
Cataracts (Acute),मोतियाबिंद का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cataracts (Chronic),मोतियाबिंद का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cataracts (Mild),मोतियाबिंद का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cataracts (Severe),मोतियाबिंद का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cataracts (Stage 1),मोतियाबिंद का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cataracts,"एक चिकित्सीय स्थिति जिसमें दृष्टि में देरी या धुंधलापन, रात में दृष्टि में कठिनाई बढ़ना, प्रकाश के प्रति संवेदनशीलता शामिल है।"
Cervical spondylosis (Acute),सर्वाइकल स्पोंडिलोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cervical spondylosis (Chronic),सर्वाइकल स्पोंडिलोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cervical spondylosis (Mild),सर्वाइकल स्पोंडिलोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cervical spondylosis (Severe),सर्वाइकल स्पोंडिलोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cervical spondylosis (Stage 1),सर्वाइकल स्पोंडिलोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cervical spondylosis,"सर्वाइकल स्पोंडिलोसिस आपकी गर्दन में स्पाइनल डिस्क को प्रभावित करने वाली उम्र से संबंधित टूट-फूट के लिए एक सामान्य शब्द है। जैसे-जैसे डिस्क निर्जलित और सिकुड़ती है, ऑस्टियोआर्थराइटिस के लक्षण विकसित होते हैं, जिसमें हड्डियों के किनारों पर हड्डी का उभार (हड्डी स्पर्स) भी शामिल है।"
Chicken pox (Acute),चिकनपॉक्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Chicken pox (Chronic),चिकनपॉक्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Chicken pox (Mild),चिकनपॉक्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Chicken pox (Severe),चिकनपॉक्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Chicken pox (Stage 1),चिकनपॉक्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Chicken pox,"चिकनपॉक्स एक अत्यधिक संक्रामक बीमारी है जो वैरिसेला-ज़ोस्टर वायरस (वीजेडवी) के कारण होती है। इससे खुजली, छाले जैसे दाने हो सकते हैं। दाने पहले छाती, पीठ और चेहरे पर दिखाई देते हैं, और फिर पूरे शरीर में फैल जाते हैं, जिससे 250 से 500 तक खुजली वाले छाले हो जाते हैं।"
Chikungunya,तमिलनाडु/उष्णकटिबंधीय क्षेत्रों में सामान्य स्थिति। चिकनगुनिया के लिए समय पर देखभाल की आवश्यकता होती है।
Cholera (Acute),हैजा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cholera (Chronic),हैजा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cholera (Mild),हैजा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cholera (Severe),हैजा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cholera (Stage 1),हैजा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Cholera,"एक चिकित्सीय स्थिति जिसमें दस्त, मतली, उल्टी होती है।"
Chronic cholestasis (Acute),क्रोनिक कोलेस्टेसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Chronic cholestasis (Chronic),क्रोनिक कोलेस्टेसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Chronic cholestasis (Mild),क्रोनिक कोलेस्टेसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Chronic cholestasis (Severe),क्रोनिक कोलेस्टेसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Chronic cholestasis (Stage 1),क्रोनिक कोलेस्टेसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Chronic cholestasis,"क्रोनिक कोलेस्टेटिक रोग, चाहे वे शैशवावस्था, बचपन या वयस्कता में होते हों, यकृत से आंत तक दोषपूर्ण पित्त एसिड परिवहन के कारण होते हैं, जो ज्यादातर मामलों में पित्त उपकला को प्राथमिक क्षति के कारण होता है।"
Common Cold (Acute),सामान्य सर्दी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Common Cold (Chronic),सामान्य सर्दी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Common Cold (Mild),सामान्य सर्दी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Common Cold (Severe),सामान्य सर्दी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Common Cold (Stage 1),सामान्य सर्दी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Common Cold,"सामान्य सर्दी आपकी नाक और गले (ऊपरी श्वसन पथ) का एक वायरल संक्रमण है। यह आमतौर पर हानिरहित होता है, हालाँकि ऐसा महसूस नहीं हो सकता है। कई प्रकार के वायरस सामान्य सर्दी का कारण बन सकते हैं।"
Conjunctivitis (Pink Eye) (Acute),नेत्रश्लेष्मलाशोथ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Conjunctivitis (Pink Eye) (Chronic),नेत्रश्लेष्मलाशोथ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Conjunctivitis (Pink Eye) (Mild),नेत्रश्लेष्मलाशोथ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Conjunctivitis (Pink Eye) (Severe),नेत्रश्लेष्मलाशोथ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Conjunctivitis (Pink Eye) (Stage 1),नेत्रश्लेष्मलाशोथ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Conjunctivitis (Pink Eye),"एक चिकित्सीय स्थिति जिसमें एक या दोनों आँखों में लालिमा, एक या दोनों आँखों में खुजली, फटना शामिल है।"
Dengue (Acute),डेंगू का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Dengue (Chronic),डेंगू का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Dengue (Mild),डेंगू का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Dengue (Severe),डेंगू का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Dengue (Stage 1),डेंगू का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Dengue,"फ्लेविवायरस (जीनस फ्लेविवायरस की प्रजाति डेंगू वायरस) के कारण होने वाला एक तीव्र संक्रामक रोग, जो एडीज मच्छरों द्वारा फैलता है, और इसमें सिरदर्द, गंभीर जोड़ों का दर्द और दाने होते हैं। - इसे हड्डी तोड़ बुखार, डेंगू बुखार भी कहा जाता है।"
Depression (Acute),अवसाद का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Depression (Chronic),अवसाद का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Depression (Mild),अवसाद का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Depression (Severe),अवसाद का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Depression (Stage 1),अवसाद का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Depression,"एक चिकित्सीय स्थिति जिसमें निराशा, रुचि की हानि, थकान होती है।"
Diabetes  (Acute),मधुमेह का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diabetes  (Chronic),मधुमेह का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diabetes  (Mild),मधुमेह का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diabetes  (Severe),मधुमेह का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diabetes  (Stage 1),मधुमेह का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diabetes ,"मधुमेह एक ऐसी बीमारी है जो तब होती है जब आपका रक्त ग्लूकोज, जिसे रक्त शर्करा भी कहा जाता है, बहुत अधिक हो जाता है। रक्त ग्लूकोज आपकी ऊर्जा का मुख्य स्रोत है और आपके द्वारा खाए जाने वाले भोजन से आता है। इंसुलिन, अग्न्याशय द्वारा बनाया गया एक हार्मोन, भोजन से ग्लूकोज को ऊर्जा के लिए उपयोग करने के लिए आपकी कोशिकाओं में जाने में मदद करता है।"
Diabetic Foot Ulcer,तमिलनाडु/उष्णकटिबंधीय क्षेत्रों में सामान्य स्थिति। डायबिटिक फुट अल्सर के लिए समय पर देखभाल की आवश्यकता होती है।
Dimorphic hemmorhoids(piles) (Acute),डिमॉर्फिक बवासीर का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Dimorphic hemmorhoids(piles) (Chronic),डिमॉर्फिक बवासीर का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Dimorphic hemmorhoids(piles) (Mild),डिमॉर्फिक बवासीर का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Dimorphic hemmorhoids(piles) (Severe),डिमॉर्फिक बवासीर का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Dimorphic hemmorhoids(piles) (Stage 1),डिमॉर्फिक बवासीर का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Dimorphic hemmorhoids(piles),डिमॉर्फिक बवासीर का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diphtheria (Acute),डिप्थीरिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diphtheria (Chronic),डिप्थीरिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diphtheria (Mild),डिप्थीरिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diphtheria (Severe),डिप्थीरिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diphtheria (Stage 1),डिप्थीरिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Diphtheria,"एक चिकित्सीय स्थिति जिसमें गले को ढकने वाली मोटी भूरे रंग की झिल्ली, गले में खराश, सूजी हुई ग्रंथियाँ होती हैं।"
Drug Reaction (Acute),ड्रग रिएक्शन का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Drug Reaction (Chronic),ड्रग रिएक्शन का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Drug Reaction (Mild),ड्रग रिएक्शन का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Drug Reaction (Severe),ड्रग रिएक्शन का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Drug Reaction (Stage 1),ड्रग रिएक्शन का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Drug Reaction,प्रतिकूल दवा प्रतिक्रिया (एडीआर) दवा लेने के कारण होने वाली चोट है। एडीआर किसी दवा की एक खुराक या लंबे समय तक सेवन के बाद या दो या दो से अधिक दवाओं के संयोजन के परिणामस्वरूप हो सकता है।
Ebola (Acute),इबोला का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Ebola (Chronic),इबोला का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Ebola (Mild),इबोला का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Ebola (Severe),इबोला का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Ebola (Stage 1),इबोला का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Ebola,"एक चिकित्सीय स्थिति जिसमें बुखार, गंभीर सिरदर्द, जोड़ों और मांसपेशियों में दर्द होता है।"
Eczema (Acute),एक्जिमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Eczema (Chronic),एक्जिमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Eczema (Mild),एक्जिमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Eczema (Severe),एक्जिमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Eczema (Stage 1),एक्जिमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Eczema,"एक चिकित्सीय स्थिति जिसमें शुष्क त्वचा, खुजली, लाल से भूरे रंग के धब्बे होते हैं।"
Fibromyalgia (Acute),फाइब्रोमायल्जिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Fibromyalgia (Chronic),फाइब्रोमायल्जिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Fibromyalgia (Mild),फाइब्रोमायल्जिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Fibromyalgia (Severe),फाइब्रोमायल्जिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Fibromyalgia (Stage 1),फाइब्रोमायल्जिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
