Disease,Description
Fibromyalgia,"व्यापक दर्द, थकान, संज्ञानात्मक कठिनाइयों की विशेषता वाली एक चिकित्सीय स्थिति।"
Filariasis,तमिलनाडु/उष्णकटिबंधीय क्षेत्रों में सामान्य स्थिति। फाइलेरिया के लिए समय पर देखभाल की आवश्यकता होती है।
Food Poisoning (Acute),खाद्य विषाक्तता का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Food Poisoning (Chronic),खाद्य विषाक्तता का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Food Poisoning (Mild),खाद्य विषाक्तता का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Food Poisoning (Severe),खाद्य विषाक्तता का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Food Poisoning (Stage 1),खाद्य विषाक्तता का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Food Poisoning,"एक चिकित्सीय स्थिति जिसमें मतली, उल्टी, पानी जैसा दस्त होता है।"
Fungal infection (Acute),फंगल संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Fungal infection (Chronic),फंगल संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Fungal infection (Mild),फंगल संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Fungal infection (Severe),फंगल संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Fungal infection (Stage 1),फंगल संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Fungal infection,"मनुष्यों में, फंगल संक्रमण तब होता है जब एक आक्रमणकारी फंगस शरीर के एक क्षेत्र पर कब्ज़ा कर लेता है और प्रतिरक्षा प्रणाली के लिए इसे संभालना बहुत मुश्किल हो जाता है। कवक हवा, मिट्टी, पानी और पौधों में रह सकते हैं। कुछ कवक ऐसे भी हैं जो प्राकृतिक रूप से मानव शरीर में रहते हैं। कई रोगाणुओं की तरह, सहायक कवक और हानिकारक कवक भी होते हैं।"
GERD (Acute),जीईआरडी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
GERD (Chronic),जीईआरडी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
GERD (Mild),जीईआरडी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
GERD (Severe),जीईआरडी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
GERD (Stage 1),जीईआरडी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
GERD,"गैस्ट्रोएसोफेगल रिफ्लक्स रोग, या जीईआरडी, एक पाचन विकार है जो निचले एसोफेजियल स्फिंक्टर (एलईएस), ग्रासनली और पेट के बीच की मांसपेशियों की अंगूठी को प्रभावित करता है। गर्भवती महिलाओं सहित कई लोग जीईआरडी के कारण होने वाली सीने में जलन या एसिड अपच से पीड़ित होते हैं।"
Gallstones (Acute),पित्ताशय की पथरी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gallstones (Chronic),पित्ताशय की पथरी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gallstones (Mild),पित्ताशय की पथरी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gallstones (Severe),पित्ताशय की पथरी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gallstones (Stage 1),पित्ताशय की पथरी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gallstones,"एक चिकित्सीय स्थिति जिसमें दाएं पेट के ऊपरी हिस्से में अचानक दर्द, पेट के मध्य भाग में अचानक दर्द, पीठ में दर्द होता है।"
Gastroenteritis (Acute),गैस्ट्रोएंटेराइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gastroenteritis (Chronic),गैस्ट्रोएंटेराइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gastroenteritis (Mild),गैस्ट्रोएंटेराइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gastroenteritis (Severe),गैस्ट्रोएंटेराइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gastroenteritis (Stage 1),गैस्ट्रोएंटेराइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gastroenteritis,"गैस्ट्रोएंटेराइटिस पाचन तंत्र, विशेष रूप से पेट और बड़ी और छोटी आंतों की सूजन है। वायरल और बैक्टीरियल गैस्ट्रोएंटेराइटिस आंतों के संक्रमण हैं जो दस्त, पेट में ऐंठन, मतली और उल्टी के लक्षणों से जुड़े होते हैं।"
Glaucoma (Acute),ग्लूकोमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Glaucoma (Chronic),ग्लूकोमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Glaucoma (Mild),ग्लूकोमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Glaucoma (Severe),ग्लूकोमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Glaucoma (Stage 1),ग्लूकोमा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Glaucoma,"एक चिकित्सीय स्थिति जिसमें पैची_ब्लाइंड_स्पॉट्स, टनल_विज़न, गंभीर_सिरदर्द शामिल हैं।"
Gout (Acute),गठिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gout (Chronic),गठिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gout (Mild),गठिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gout (Severe),गठिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gout (Stage 1),गठिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Gout,"एक चिकित्सीय स्थिति जिसमें जोड़ों में तीव्र दर्द, लंबे समय तक असुविधा, सूजन और लालिमा होती है।"
Heart attack (Acute),हार्ट अटैक का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Heart attack (Chronic),हार्ट अटैक का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Heart attack (Mild),हार्ट अटैक का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Heart attack (Severe),हार्ट अटैक का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Heart attack (Stage 1),हार्ट अटैक का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Heart attack,"रक्त की आपूर्ति में कमी के कारण हृदय की मांसपेशियों की मृत्यु। रक्त आपूर्ति की हानि आमतौर पर कोरोनरी धमनी के पूर्ण अवरोध के कारण होती है, जो हृदय की मांसपेशियों को रक्त की आपूर्ति करने वाली धमनियों में से एक है।"
Heat Stroke,तमिलनाडु/उष्णकटिबंधीय क्षेत्रों में सामान्य स्थिति। हीट स्ट्रोक के लिए समय पर देखभाल की आवश्यकता होती है।
Hepatitis B (Acute),हेपेटाइटिस बी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis B (Chronic),हेपेटाइटिस बी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis B (Mild),हेपेटाइटिस बी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis B (Severe),हेपेटाइटिस बी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis B (Stage 1),हेपेटाइटिस बी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis B,"हेपेटाइटिस बी आपके लीवर का संक्रमण है। इससे अंग पर घाव, लीवर की विफलता और कैंसर हो सकता है। अगर इसका इलाज न किया जाए तो यह घातक हो सकता है। यह तब फैलता है जब लोग हेपेटाइटिस बी वायरस से पीड़ित किसी व्यक्ति के रक्त, खुले घावों या शरीर के तरल पदार्थों के संपर्क में आते हैं।"
Hepatitis C (Acute),हेपेटाइटिस सी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis C (Chronic),हेपेटाइटिस सी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis C (Mild),हेपेटाइटिस सी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis C (Severe),हेपेटाइटिस सी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis C (Stage 1),हेपेटाइटिस सी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis C,"हेपेटाइटिस सी वायरस (एचसीवी) के कारण यकृत की सूजन, जो आमतौर पर रक्त आधान (दुर्लभ), हेमोडायलिसिस और सुई चुभन के माध्यम से फैलती है। हेपेटाइटिस सी लीवर को जो नुकसान पहुंचाता है, उससे सिरोसिस और इसकी जटिलताओं के साथ-साथ कैंसर भी हो सकता है।"
Hepatitis D (Acute),हेपेटाइटिस डी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis D (Chronic),हेपेटाइटिस डी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis D (Mild),हेपेटाइटिस डी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis D (Severe),हेपेटाइटिस डी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis D (Stage 1),हेपेटाइटिस डी के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis D,"हेपेटाइटिस डी, जिसे हेपेटाइटिस डेल्टा वायरस भी कहा जाता है, एक संक्रमण है जिसके कारण लीवर में सूजन हो जाती है। यह सूजन लीवर की कार्यप्रणाली को ख़राब कर सकती है और लीवर में घाव और कैंसर सहित दीर्घकालिक लीवर की समस्याएं पैदा कर सकती है। यह स्थिति हेपेटाइटिस डी वायरस (एचडीवी) के कारण होती है।"
Hepatitis E (Acute),हेपेटाइटिस ई के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis E (Chronic),हेपेटाइटिस ई के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis E (Mild),हेपेटाइटिस ई के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis E (Severe),हेपेटाइटिस ई के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis E (Stage 1),हेपेटाइटिस ई के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
Hepatitis E,हेपेटाइटिस ई वायरस (एचईवी) के संक्रमण के कारण होने वाली जिगर की सूजन का एक दुर्लभ रूप। यह किसी संक्रमित व्यक्ति द्वारा संभाले गए भोजन या पेय के माध्यम से या उन क्षेत्रों में संक्रमित जल आपूर्ति के माध्यम से फैलता है जहां मल पानी में मिल सकता है। हेपेटाइटिस ई क्रोनिक लिवर रोग का कारण नहीं बनता है।
Hernia (Acute),हर्निया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hernia (Chronic),हर्निया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hernia (Mild),हर्निया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hernia (Severe),हर्निया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hernia (Stage 1),हर्निया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hernia,"एक चिकित्सीय स्थिति जिसमें उभार या गांठ, दर्द या बेचैनी, कमजोरी या दबाव होता है।"
Hypertension  (Acute),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension  (Chronic),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension  (Mild),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension  (Severe),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension  (Stage 1),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension (Acute),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension (Chronic),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension (High BP) (Acute),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension (High BP) (Chronic),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension (High BP) (Mild),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension (High BP) (Severe),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension (High BP) (Stage 1),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension (High BP),"एक चिकित्सीय स्थिति जिसमें गंभीर सिरदर्द, नाक से खून आना, थकान शामिल है।"
Hypertension (Mild),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension (Severe),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension (Stage 1),उच्च रक्तचाप का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypertension ,"उच्च रक्तचाप (एचटीएन या एचटी), जिसे उच्च रक्तचाप (एचबीपी) के रूप में भी जाना जाता है, एक दीर्घकालिक चिकित्सा स्थिति है जिसमें धमनियों में रक्तचाप लगातार बढ़ जाता है। उच्च रक्तचाप आमतौर पर लक्षण पैदा नहीं करता है।"
Hypertension,"उच्च रक्तचाप (एचटीएन या एचटी), जिसे उच्च रक्तचाप (एचबीपी) के रूप में भी जाना जाता है, एक दीर्घकालिक चिकित्सा स्थिति है जिसमें धमनियों में रक्तचाप लगातार बढ़ जाता है। उच्च रक्तचाप आमतौर पर लक्षण पैदा नहीं करता है।"
Hyperthyroidism (Acute),हाइपरथायरायडिज्म का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hyperthyroidism (Chronic),हाइपरथायरायडिज्म का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hyperthyroidism (Mild),हाइपरथायरायडिज्म का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hyperthyroidism (Severe),हाइपरथायरायडिज्म का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hyperthyroidism (Stage 1),हाइपरथायरायडिज्म का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hyperthyroidism,"हाइपरथायरायडिज्म (अति सक्रिय थायरॉयड) तब होता है जब आपकी थायरॉयड ग्रंथि थायरोक्सिन हार्मोन का बहुत अधिक उत्पादन करती है। हाइपरथायरायडिज्म आपके शरीर के चयापचय को तेज कर सकता है, जिससे अनजाने में वजन कम हो सकता है और दिल की धड़कन तेज या अनियमित हो सकती है।"
Hypoglycemia (Acute),हाइपोग्लाइसीमिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypoglycemia (Chronic),हाइपोग्लाइसीमिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypoglycemia (Mild),हाइपोग्लाइसीमिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypoglycemia (Severe),हाइपोग्लाइसीमिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypoglycemia (Stage 1),हाइपोग्लाइसीमिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypoglycemia,हाइपोग्लाइसीमिया एक ऐसी स्थिति है जिसमें आपके रक्त शर्करा (ग्लूकोज) का स्तर सामान्य से कम होता है। ग्लूकोज आपके शरीर का मुख्य ऊर्जा स्रोत है। हाइपोग्लाइसीमिया अक्सर मधुमेह के उपचार से संबंधित होता है। लेकिन अन्य दवाएं और विभिन्न प्रकार की स्थितियां - कई दुर्लभ - उन लोगों में निम्न रक्त शर्करा का कारण बन सकती हैं जिन्हें मधुमेह नहीं है।
Hypothyroidism (Acute),हाइपोथायरायडिज्म का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypothyroidism (Chronic),हाइपोथायरायडिज्म का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypothyroidism (Mild),हाइपोथायरायडिज्म का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypothyroidism (Severe),हाइपोथायरायडिज्म का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypothyroidism (Stage 1),हाइपोथायरायडिज्म का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Hypothyroidism,"हाइपोथायरायडिज्म, जिसे अंडरएक्टिव थायराइड या कम थायराइड भी कहा जाता है, अंतःस्रावी तंत्र का एक विकार है जिसमें थायरॉयड ग्रंथि पर्याप्त थायराइड हार्मोन का उत्पादन नहीं करती है।"
Impetigo (Acute),इम्पेटिगो का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Impetigo (Chronic),इम्पेटिगो का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Impetigo (Mild),इम्पेटिगो का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Impetigo (Severe),इम्पेटिगो का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Impetigo (Stage 1),इम्पेटिगो का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Impetigo,"इम्पेटिगो (im-puh-TIE-go) एक आम और अत्यधिक संक्रामक त्वचा संक्रमण है जो मुख्य रूप से शिशुओं और बच्चों को प्रभावित करता है। इम्पेटिगो आमतौर पर चेहरे पर लाल घावों के रूप में दिखाई देता है, खासकर बच्चे की नाक और मुंह के आसपास, और हाथों और पैरों पर। घाव फट जाते हैं और शहद के रंग की पपड़ी बन जाती है।"
Influenza (Acute),इन्फ्लुएंजा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Influenza (Chronic),इन्फ्लुएंजा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Influenza (Mild),इन्फ्लुएंजा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Influenza (Severe),इन्फ्लुएंजा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Influenza (Stage 1),इन्फ्लुएंजा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Influenza,"एक चिकित्सीय स्थिति जिसमें बुखार, ठंड लगना, मांसपेशियों में दर्द होता है।"
Insomnia (Acute),अनिद्रा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Insomnia (Chronic),अनिद्रा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Insomnia (Mild),अनिद्रा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Insomnia (Severe),अनिद्रा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Insomnia (Stage 1),अनिद्रा का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Insomnia,"एक चिकित्सीय स्थिति जिसमें सोने में कठिनाई, रात में जागना, बहुत जल्दी जागना शामिल है।"
Iron Deficiency Anemia,तमिलनाडु/उष्णकटिबंधीय क्षेत्रों में सामान्य स्थिति। आयरन की कमी से होने वाले एनीमिया के लिए समय पर देखभाल की आवश्यकता होती है।
Jaundice (Acute),पीलिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Jaundice (Chronic),पीलिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Jaundice (Mild),पीलिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Jaundice (Severe),पीलिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Jaundice (Stage 1),पीलिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Jaundice,"रक्त में पित्त वर्णक बिलीरुबिन के असामान्य रूप से उच्च स्तर के कारण त्वचा और श्वेतपटल (आंखों का सफेद भाग) का पीला पड़ना। पीलापन अन्य ऊतकों और शरीर के तरल पदार्थों तक फैल जाता है। पीलिया को एक समय ""मॉर्बस रेगियस"" (शाही बीमारी) कहा जाता था, यह विश्वास था कि केवल राजा का स्पर्श ही इसे ठीक कर सकता है।"
Kidney Stones (Acute),गुर्दे की पथरी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Kidney Stones (Chronic),गुर्दे की पथरी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Kidney Stones (Mild),गुर्दे की पथरी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Kidney Stones (Severe),गुर्दे की पथरी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Kidney Stones (Stage 1),गुर्दे की पथरी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Kidney Stones,"एक चिकित्सीय स्थिति जिसमें बगल और पीठ में गंभीर दर्द, पेशाब करने पर दर्द, गुलाबी_लाल_या_भूरा_मूत्र होता है।"
Leptospirosis,तमिलनाडु/उष्णकटिबंधीय क्षेत्रों में सामान्य स्थिति। लेप्टोस्पायरोसिस के लिए समय पर देखभाल की आवश्यकता होती है।
Liver Cirrhosis (Acute),लिवर सिरोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Liver Cirrhosis (Chronic),लिवर सिरोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Liver Cirrhosis (Mild),लिवर सिरोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Liver Cirrhosis (Severe),लिवर सिरोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Liver Cirrhosis (Stage 1),लिवर सिरोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Liver Cirrhosis,"एक चिकित्सीय स्थिति जिसमें थकान, आसानी से रक्तस्राव या चोट लगना, भूख न लगना शामिल है।"
Lyme Disease (Acute),लाइम रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Lyme Disease (Chronic),लाइम रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Lyme Disease (Mild),लाइम रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Lyme Disease (Severe),लाइम रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Lyme Disease (Stage 1),लाइम रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Lyme Disease,लाइम रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Madras Eye (Conjunctivitis),तमिलनाडु/उष्णकटिबंधीय क्षेत्रों में सामान्य स्थिति। मद्रास आई (नेत्रश्लेष्मलाशोथ) को समय पर देखभाल की आवश्यकता होती है।
Malaria (Acute),मलेरिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
