Disease,Description
Malaria (Chronic),मलेरिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Malaria (Mild),मलेरिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Malaria (Severe),मलेरिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Malaria (Stage 1),मलेरिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Malaria,प्लास्मोडियम परिवार के प्रोटोजोआ परजीवियों के कारण होने वाला एक संक्रामक रोग जो एनोफिलिस मच्छर के काटने या दूषित सुई या ट्रांसफ्यूजन से फैल सकता है। फाल्सीपेरम मलेरिया सबसे घातक प्रकार है।
Measles (Acute),खसरे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Measles (Chronic),खसरे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Measles (Mild),खसरे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Measles (Severe),खसरे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Measles (Stage 1),खसरे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Measles,"एक चिकित्सीय स्थिति जिसमें बुखार, सूखी खांसी, नाक बहना शामिल है।"
Melanoma (Acute),मेलेनोमा का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Melanoma (Chronic),मेलेनोमा का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Melanoma (Mild),मेलेनोमा का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Melanoma (Severe),मेलेनोमा का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Melanoma (Stage 1),मेलेनोमा का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Melanoma,"एक चिकित्सीय स्थिति जिसमें असामान्य तिल, मौजूदा तिल में बदलाव, काले घाव शामिल हैं।"
Migraine (Acute),माइग्रेन का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Migraine (Chronic),माइग्रेन का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Migraine (Mild),माइग्रेन का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Migraine (Severe),माइग्रेन का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Migraine (Stage 1),माइग्रेन का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Migraine,"माइग्रेन के कारण आमतौर पर सिर के एक तरफ गंभीर धड़कते हुए दर्द या धड़कन की अनुभूति हो सकती है। यह अक्सर मतली, उल्टी और प्रकाश और ध्वनि के प्रति अत्यधिक संवेदनशीलता के साथ होता है। माइग्रेन का दौरा घंटों से लेकर कई दिनों तक रह सकता है, और दर्द इतना गंभीर हो सकता है कि यह आपकी दैनिक गतिविधियों में हस्तक्षेप कर सकता है।"
Mumps (Acute),कण्ठमाला का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Mumps (Chronic),कण्ठमाला का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Mumps (Mild),कण्ठमाला का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Mumps (Severe),कण्ठमाला का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Mumps (Stage 1),कण्ठमाला का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Mumps,"एक चिकित्सीय स्थिति जिसमें लार ग्रंथियों में सूजन, चबाने पर दर्द, बुखार होता है।"
Osteoarthristis (Acute),ऑस्टियोआर्थराइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Osteoarthristis (Chronic),ऑस्टियोआर्थराइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Osteoarthristis (Mild),ऑस्टियोआर्थराइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Osteoarthristis (Severe),ऑस्टियोआर्थराइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Osteoarthristis (Stage 1),ऑस्टियोआर्थराइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Osteoarthristis,"ऑस्टियोआर्थराइटिस गठिया का सबसे आम रूप है, जो दुनिया भर में लाखों लोगों को प्रभावित करता है। यह तब होता है जब आपकी हड्डियों के सिरों को सहारा देने वाली सुरक्षात्मक उपास्थि समय के साथ खराब हो जाती है।"
Osteoporosis (Acute),ऑस्टियोपोरोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Osteoporosis (Chronic),ऑस्टियोपोरोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Osteoporosis (Mild),ऑस्टियोपोरोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Osteoporosis (Severe),ऑस्टियोपोरोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Osteoporosis (Stage 1),ऑस्टियोपोरोसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Osteoporosis,"एक चिकित्सीय स्थिति जिसमें पीठ में दर्द, ऊंचाई में कमी, झुकी हुई मुद्रा शामिल है।"
Otitis Media (Ear Infection),"एक चिकित्सीय स्थिति जिसमें कान में दर्द, नींद में परेशानी, सुनने में परेशानी होती है।"
Pancreatitis (Acute),अग्नाशयशोथ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Pancreatitis (Chronic),अग्नाशयशोथ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Pancreatitis (Mild),अग्नाशयशोथ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Pancreatitis (Severe),अग्नाशयशोथ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Pancreatitis (Stage 1),अग्नाशयशोथ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Pancreatitis,"एक चिकित्सीय स्थिति जिसमें ऊपरी पेट में दर्द होता है, पेट का दर्द पीठ तक फैलता है, पेट का दर्द खाने के बाद बिगड़ जाता है।"
Paralysis (brain hemorrhage) (Acute),पक्षाघात का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Paralysis (brain hemorrhage) (Chronic),पक्षाघात का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Paralysis (brain hemorrhage) (Mild),पक्षाघात का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Paralysis (brain hemorrhage) (Severe),पक्षाघात का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Paralysis (brain hemorrhage) (Stage 1),पक्षाघात का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Paralysis (brain hemorrhage),"इंट्रासेरेब्रल हेमरेज (आईसीएच) तब होता है जब रक्त अचानक मस्तिष्क के ऊतकों में फूट जाता है, जिससे आपके मस्तिष्क को नुकसान होता है। ICH के दौरान लक्षण आमतौर पर अचानक प्रकट होते हैं। इनमें सिरदर्द, कमजोरी, भ्रम और पक्षाघात शामिल हैं, खासकर आपके शरीर के एक तरफ का पक्षाघात।"
Peptic ulcer diseae (Acute),पेप्टिक अल्सर रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Peptic ulcer diseae (Chronic),पेप्टिक अल्सर रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Peptic ulcer diseae (Mild),पेप्टिक अल्सर रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Peptic ulcer diseae (Severe),पेप्टिक अल्सर रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Peptic ulcer diseae (Stage 1),पेप्टिक अल्सर रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Peptic ulcer diseae,"पेप्टिक अल्सर रोग (पीयूडी) पेट की अंदरूनी परत, छोटी आंत के पहले भाग, या कभी-कभी निचले अन्नप्रणाली में एक दरार है। पेट में होने वाले अल्सर को गैस्ट्रिक अल्सर कहा जाता है, जबकि आंतों के पहले भाग में होने वाले अल्सर को डुओडनल अल्सर कहा जाता है।"
Pneumonia (Acute),निमोनिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Pneumonia (Chronic),निमोनिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Pneumonia (Mild),निमोनिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Pneumonia (Severe),निमोनिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Pneumonia (Stage 1),निमोनिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Pneumonia,"निमोनिया एक या दोनों फेफड़ों में होने वाला संक्रमण है। बैक्टीरिया, वायरस और कवक इसका कारण बनते हैं। संक्रमण के कारण आपके फेफड़ों में वायु की थैलियों में सूजन आ जाती है, जिन्हें एल्वियोली कहा जाता है। एल्वियोली द्रव या मवाद से भर जाती है, जिससे सांस लेना मुश्किल हो जाता है।"
Psoriasis (Acute),सोरायसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Psoriasis (Chronic),सोरायसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Psoriasis (Mild),सोरायसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Psoriasis (Severe),सोरायसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Psoriasis (Stage 1),सोरायसिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Psoriasis,"सोरायसिस एक आम त्वचा विकार है जो चांदी की पपड़ियों से ढके मोटे, लाल, ऊबड़-खाबड़ पैच बनाता है। वे कहीं भी उभर सकते हैं, लेकिन ज्यादातर खोपड़ी, कोहनी, घुटनों और पीठ के निचले हिस्से पर दिखाई देते हैं। सोरायसिस एक व्यक्ति से दूसरे व्यक्ति में नहीं फैल सकता। यह कभी-कभी एक ही परिवार के सदस्यों में होता है।"
Rabies (Acute),रेबीज़ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rabies (Chronic),रेबीज़ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rabies (Mild),रेबीज़ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rabies (Severe),रेबीज़ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rabies (Stage 1),रेबीज़ का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rabies,"एक चिकित्सीय स्थिति जिसमें बुखार, सिरदर्द, मतली होती है।"
Ringworm (Acute),दाद का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Ringworm (Chronic),दाद का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Ringworm (Mild),दाद का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Ringworm (Severe),दाद का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Ringworm (Stage 1),दाद का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Ringworm,"एक चिकित्सीय स्थिति जिसमें पपड़ीदार अंगूठी के आकार का क्षेत्र, खुजली, लाल पपड़ीदार_फटी_त्वचा होती है।"
Rosacea (Acute),रोसैसिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rosacea (Chronic),रोसैसिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rosacea (Mild),रोसैसिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rosacea (Severe),रोसैसिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rosacea (Stage 1),रोसैसिया का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rosacea,"एक चिकित्सीय स्थिति जिसमें चेहरे की लालिमा, सूजे हुए लाल उभार, आंखों की समस्याएं शामिल हैं।"
Rubella (Acute),रूबेला का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rubella (Chronic),रूबेला का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rubella (Mild),रूबेला का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rubella (Severe),रूबेला का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rubella (Stage 1),रूबेला का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Rubella,"एक चिकित्सीय स्थिति जिसमें हल्का बुखार, सिरदर्द, भरी हुई नाक या बहती नाक शामिल है।"
Scabies (Acute),खुजली का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Scabies (Chronic),खुजली का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Scabies (Mild),खुजली का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Scabies (Severe),खुजली का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Scabies (Stage 1),खुजली का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Scabies,"एक चिकित्सीय स्थिति जिसमें खुजली, पतली अनियमित बुर, छाले शामिल हैं।"
Scrub Typhus,तमिलनाडु/उष्णकटिबंधीय क्षेत्रों में सामान्य स्थिति। स्क्रब टाइफस को समय पर देखभाल की आवश्यकता होती है।
Sinusitis,"एक चिकित्सीय स्थिति जिसमें गाढ़ा_पीला_या_हरा_स्त्राव, नाक_रुकावट, आंखों_गालों_के_आसपास_दर्द_कोमलता_सूजन_होती है।"
Stroke (Acute),स्ट्रोक का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Stroke (Chronic),स्ट्रोक का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Stroke (Mild),स्ट्रोक का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Stroke (Severe),स्ट्रोक का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Stroke (Stage 1),स्ट्रोक का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
Stroke,"एक चिकित्सीय स्थिति जिसमें अचानक सुन्नता, भ्रम, बोलने में परेशानी होती है।"
Tetanus (Acute),टेटनस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tetanus (Chronic),टेटनस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tetanus (Mild),टेटनस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tetanus (Severe),टेटनस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tetanus (Stage 1),टेटनस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tetanus,"एक चिकित्सीय स्थिति जिसमें जबड़े में ऐंठन, मांसपेशियों में ऐंठन, दर्दनाक मांसपेशियों में अकड़न होती है।"
Tonsillitis (Acute),टॉन्सिलाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tonsillitis (Chronic),टॉन्सिलाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tonsillitis (Mild),टॉन्सिलाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tonsillitis (Severe),टॉन्सिलाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tonsillitis (Stage 1),टॉन्सिलाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tonsillitis,"एक चिकित्सीय स्थिति जिसमें टॉन्सिल में लाल सूजन, टॉन्सिल पर सफेद या पीली परत, गले में खराश होती है।"
Tuberculosis (Acute),क्षय रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tuberculosis (Chronic),क्षय रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tuberculosis (Mild),क्षय रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tuberculosis (Severe),क्षय रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tuberculosis (Stage 1),क्षय रोग का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Tuberculosis,"क्षय रोग (टीबी) एक संक्रामक रोग है जो आमतौर पर माइकोबैक्टीरियम ट्यूबरकुलोसिस (एमटीबी) बैक्टीरिया के कारण होता है। तपेदिक आम तौर पर फेफड़ों को प्रभावित करता है, लेकिन शरीर के अन्य हिस्सों को भी प्रभावित कर सकता है। अधिकांश संक्रमणों में कोई लक्षण नहीं दिखते, ऐसी स्थिति में इसे गुप्त तपेदिक के रूप में जाना जाता है।"
Typhoid (Acute),टाइफाइड का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Typhoid (Chronic),टाइफाइड का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Typhoid (Mild),टाइफाइड का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Typhoid (Severe),टाइफाइड का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Typhoid (Stage 1),टाइफाइड का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Typhoid,"साल्मोनेला टाइफी जीवाणु के संक्रमण के कारण होने वाले बुखार की विशेषता वाली एक गंभीर बीमारी। टाइफाइड बुखार की भयानक शुरुआत होती है, जिसमें बुखार, सिरदर्द, कब्ज, अस्वस्थता, ठंड लगना और मांसपेशियों में दर्द होता है। दस्त असामान्य है, और उल्टी आमतौर पर गंभीर नहीं होती है।"
Urinary Tract Infection (UTI) (Acute),मूत्र पथ संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Urinary Tract Infection (UTI) (Chronic),मूत्र पथ संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Urinary Tract Infection (UTI) (Mild),मूत्र पथ संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Urinary Tract Infection (UTI) (Severe),मूत्र पथ संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Urinary Tract Infection (UTI) (Stage 1),मूत्र पथ संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Urinary Tract Infection (UTI),"एक चिकित्सीय स्थिति जिसमें पेशाब करने की तीव्र इच्छा, जलन, बादल छाए हुए मूत्र की विशेषता होती है।"
Urinary tract infection (Acute),मूत्र पथ के संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Urinary tract infection (Chronic),मूत्र पथ के संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Urinary tract infection (Mild),मूत्र पथ के संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Urinary tract infection (Severe),मूत्र पथ के संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Urinary tract infection (Stage 1),मूत्र पथ के संक्रमण का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Urinary tract infection,"मूत्र पथ का संक्रमण: गुर्दे, मूत्रवाहिनी, मूत्राशय या मूत्रमार्ग का संक्रमण। संक्षिप्त रूप में यूटीआई. यूटीआई से पीड़ित हर किसी में लक्षण नहीं होते हैं, लेकिन सामान्य लक्षणों में बार-बार पेशाब करने की इच्छा होना और पेशाब करते समय दर्द या जलन शामिल है।"
Varicose veins (Acute),वैरिकाज़ नसों का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Varicose veins (Chronic),वैरिकाज़ नसों का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Varicose veins (Mild),वैरिकाज़ नसों का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Varicose veins (Severe),वैरिकाज़ नसों का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Varicose veins (Stage 1),वैरिकाज़ नसों का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Varicose veins,"एक नस जो बढ़ गई है और मुड़ गई है, अक्सर एक उभरी हुई, नीली रक्त वाहिका के रूप में दिखाई देती है जो त्वचा के माध्यम से स्पष्ट रूप से दिखाई देती है। वैरिकाज़ नसें वृद्ध वयस्कों, विशेषकर महिलाओं में सबसे आम हैं, और विशेष रूप से पैरों पर होती हैं।"
Viral Fever (Acute),वायरल बुखार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Viral Fever (Chronic),वायरल बुखार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Viral Fever (Mild),वायरल बुखार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Viral Fever (Severe),वायरल बुखार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Viral Fever (Stage 1),वायरल बुखार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Viral Fever,वायरल बुखार का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Whooping Cough (Acute),काली खांसी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Whooping Cough (Chronic),काली खांसी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Whooping Cough (Mild),काली खांसी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Whooping Cough (Severe),काली खांसी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Whooping Cough (Stage 1),काली खांसी का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Whooping Cough,"एक चिकित्सीय स्थिति जिसमें नाक बहना, नाक बंद होना, आंखें लाल होना आदि शामिल हैं।"
Zika Virus (Acute),जीका वायरस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Zika Virus (Chronic),जीका वायरस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Zika Virus (Mild),जीका वायरस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Zika Virus (Severe),जीका वायरस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Zika Virus (Stage 1),जीका वायरस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Zika Virus,"एक चिकित्सीय स्थिति जिसमें हल्का बुखार, दाने, जोड़ों का दर्द होता है।"
hepatitis A (Acute),हेपेटाइटिस ए के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
hepatitis A (Chronic),हेपेटाइटिस ए के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
hepatitis A (Mild),हेपेटाइटिस ए के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
hepatitis A (Severe),हेपेटाइटिस ए के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
hepatitis A (Stage 1),हेपेटाइटिस ए के एक विशिष्ट प्रकार के लिए चिकित्सा देखभाल की आवश्यकता होती है।
hepatitis A,हेपेटाइटिस ए एक अत्यधिक संक्रामक यकृत संक्रमण है जो हेपेटाइटिस ए वायरस के कारण होता है। यह वायरस कई प्रकार के हेपेटाइटिस वायरस में से एक है जो सूजन का कारण बनता है और आपके लीवर की कार्य करने की क्षमता को प्रभावित करता है।
